day,tip,size,time,smoker,total_bill,sex
Sat,4.922901618610785,5,Dinner,Yes,20.94057429112852,Male
Sun,5.074013951210499,1,Lunch,Yes,22.602347656421774,Female
Sun,5.98848255163043,2,Lunch,Yes,27.79299486449093,Male
Sat,5.955650222544763,1,Dinner,No,10.685235232001583,Female
Sat,6.199489146485613,2,Lunch,Yes,15.8131917911121,Male
Thur,4.3859767439027255,3,Lunch,Yes,14.079160529324128,Female
Fri,8.285667490106029,3,Lunch,Yes,7.034191205087421,Female
Thur,8.169516689475524,3,Dinner,No,33.0293867785886,Female
Fri,4.6542032988000415,1,Dinner,Yes,19.93187338276936,Male
Sun,5.024787131187865,3,Lunch,No,21.390130515192876,Female
Fri,3.576106751172241,2,Lunch,No,11.261013531581948,Male
Thur,6.4325597606374565,1,Lunch,No,4.800434145748641,Male
Thur,3.4704171561874597,2,Dinner,Yes,24.90592445154094,Female
Sun,5.0377776370571,3,Dinner,No,22.237056017711446,Female
Thur,5.222708993824675,5,Lunch,Yes,32.17565622174082,Female
Sun,3.752940144540548,3,Lunch,No,10.092991344240184,Female
Sat,5.1650446246892185,2,Dinner,Yes,20.46584500370469,Female
Sun,7.363825985938894,1,Lunch,Yes,16.340790565359057,Male
Sun,6.874161724102138,3,Dinner,Yes,16.917000248981395,Female
Sun,5.9135782469782665,6,Dinner,Yes,26.395687199315972,Female
Fri,2.49025650883384,3,Lunch,No,28.77684172785149,Female
Sat,4.146017396039159,1,Lunch,Yes,5.487933746617914,Male
Sat,6.796867213026173,3,Lunch,Yes,20.70474413779595,Female
Sun,9.043629510931193,2,Lunch,No,23.326991616104614,Male
Sat,1.551624437470088,3,Dinner,Yes,23.32308173794242,Female
Thur,5.74342118694652,2,Dinner,Yes,36.31933284188089,Male
Thur,2.698099240165553,6,Dinner,Yes,16.44100377335351,Male
Fri,4.351695117838782,3,Lunch,No,22.218360494171154,Female
Sat,5.7076754328187125,4,Lunch,No,24.17683968850804,Male
Sat,3.10925349608895,2,Lunch,Yes,32.89601832964183,Male
Fri,5.283033548109655,2,Dinner,No,31.09950252194509,Male
Thur,5.0962193623476075,1,Lunch,Yes,27.111524283874815,Male
Thur,4.343154485479855,1,Lunch,No,32.12203834649304,Female
Thur,6.7281219486402435,2,Lunch,Yes,48.825815559431646,Female
Sun,4.246007223215151,3,Dinner,No,29.813739837850044,Male
Sun,5.993864276150619,2,Lunch,No,18.035777255810817,Female
Sun,5.742722630499065,4,Lunch,No,7.714308586298319,Female
Thur,4.434728938138734,2,Lunch,Yes,24.104086278825665,Female
Sat,5.90028750545747,3,Lunch,Yes,19.683441494369696,Male
Sat,5.680891613926004,3,Lunch,Yes,36.837755365330125,Male
Sun,5.986720509267776,3,Dinner,Yes,18.919612577920716,Female
Fri,7.6295870477800785,2,Dinner,Yes,2.9887373712671703,Female
Sun,3.0623437386775247,1,Lunch,Yes,18.942564553930605,Female
Sun,6.438882179804617,2,Lunch,No,14.691637374241893,Female
Fri,6.5694634273644334,2,Dinner,No,10.443138085109757,Male
Thur,5.096512649102647,2,Dinner,No,10.697409923373504,Female
Thur,4.137183649191814,2,Dinner,Yes,28.821167390264414,Male
Sat,3.8547329493679916,2,Lunch,Yes,10.868821460829592,Male
Sun,5.609558456097803,6,Dinner,No,22.343595467180513,Male
Sat,6.333005074218665,5,Dinner,No,6.867221512689264,Male
Sat,4.067716076986673,1,Lunch,Yes,7.522436822344778,Male
Sat,6.4363870259374085,3,Dinner,Yes,16.83575258785104,Female
Sat,6.248830773167761,1,Dinner,No,2.3466840215308764,Male
Fri,5.014588672127874,2,Lunch,No,25.737334595263427,Male
Sun,5.951548183805411,3,Lunch,Yes,25.633443731507175,Female
Fri,4.948006351908184,2,Lunch,Yes,9.666537823595336,Male
Fri,5.930538764016511,2,Dinner,No,21.18430153096351,Female
Thur,3.8151496056187186,4,Lunch,Yes,18.33976725802248,Female
Sun,3.8631330260494225,2,Lunch,Yes,18.189358020727262,Male
Fri,5.0203144701705416,2,Lunch,Yes,16.696842511281858,Female
Sat,5.081934879209923,2,Lunch,No,20.012959272110212,Female
Sat,5.979744053880641,2,Dinner,No,27.15148157749785,Female
Sat,3.6662390231402595,6,Lunch,Yes,15.368562383593254,Male
Fri,2.671890655423763,1,Dinner,No,20.74174571299624,Male
Sun,4.965715743731291,6,Lunch,No,9.05237348643639,Male
Sat,5.802369638733463,4,Lunch,Yes,12.622431184547054,Male
Thur,5.217730200760535,2,Lunch,Yes,16.276436202085563,Female
Sun,6.120896866830607,2,Lunch,No,10.459282667487473,Male
Sat,4.524663044200068,1,Dinner,No,13.114483863347303,Male
Thur,6.692530550363762,6,Dinner,No,17.143276528443415,Female
Sun,5.90567110279145,1,Lunch,No,7.926863193981861,Male
Sun,4.444032835474701,2,Lunch,Yes,10.681639500662218,Male
Sat,4.892394434286144,2,Lunch,Yes,14.620595743530139,Female
Thur,4.340203992383669,3,Lunch,Yes,13.684347887947496,Male
Fri,5.742344671371198,2,Dinner,Yes,28.13991340899279,Male
Thur,5.309996763642837,4,Lunch,No,18.63645775723314,Male
Thur,5.574470267605726,5,Lunch,No,31.976564668997746,Female
Fri,3.7766564347840585,3,Lunch,Yes,18.753759666206,Female
Thur,4.070616330547758,3,Lunch,Yes,35.67230034235358,Male
Thur,5.320967093231085,5,Dinner,Yes,11.37362931695944,Female
Thur,5.455691239465901,4,Lunch,No,27.836926257314794,Male
Thur,4.830560666127015,2,Lunch,Yes,16.745248728576676,Male
Fri,5.5583158568106885,3,Dinner,Yes,10.896846133585647,Male
Sat,4.287685589212536,2,Lunch,Yes,17.5014622247354,Male
Fri,4.714504941811343,3,Lunch,Yes,17.71887632747375,Female
Fri,6.3933424419744735,2,Lunch,Yes,18.93573983930505,Female
Sat,5.12046347797299,2,Lunch,Yes,6.220259618383704,Female
Thur,4.600897980764034,2,Dinner,No,7.859719043283331,Female
Fri,5.449235914800281,2,Lunch,Yes,16.02703277357451,Female
Sun,7.092218774369636,1,Dinner,Yes,-0.4576560791795785,Female
Thur,3.4214732430005146,2,Dinner,Yes,15.541885263875802,Female
Thur,4.303570249375307,3,Dinner,No,18.456616716770235,Male
Sat,6.138481463281106,3,Dinner,Yes,9.548442042259722,Female
Sun,3.8965675007570226,2,Dinner,No,-6.650408553797124,Female
Fri,5.761601662411433,2,Lunch,No,18.041406186685897,Male
Sat,4.85741855628144,6,Lunch,Yes,15.36676001679962,Male
Fri,4.492158324469659,3,Lunch,No,18.034381502380118,Male
Fri,5.546584488610054,2,Dinner,No,29.824602408276178,Male
Fri,7.098684592309997,4,Lunch,Yes,9.584252373615167,Female
Sun,4.383281786895408,3,Dinner,Yes,32.77134137420217,Female
Thur,6.3510834968656535,4,Dinner,No,19.319701097831427,Female
Sat,5.103249509543157,3,Lunch,No,11.405311689484696,Female
Fri,5.76486062753154,2,Dinner,Yes,20.717522961828106,Male
Fri,4.959474448986004,3,Dinner,Yes,33.807982127078574,Female
Sat,4.4084401455277735,2,Lunch,Yes,23.737801706953917,Male
Thur,1.9493712146038646,3,Lunch,Yes,2.8758516777385807,Female
Sun,4.918984793813302,3,Lunch,No,16.358799383424266,Female
Fri,4.14023405364027,3,Dinner,Yes,33.504759010221335,Male
Thur,3.8085039610661506,3,Lunch,Yes,3.814623955603718,Female
Sat,2.150042523309942,3,Lunch,No,24.048686810287805,Male
Fri,4.355293235829725,1,Lunch,Yes,39.55986681659168,Female
Thur,6.019386014218343,3,Dinner,Yes,36.196967933879904,Male
Sun,4.339184020931621,2,Dinner,Yes,18.28932271871559,Male
Fri,4.043867237714947,1,Dinner,No,13.785474329231986,Female
Thur,5.169305813950658,2,Dinner,Yes,19.79845187728025,Female
Sat,4.065947344322183,1,Lunch,No,16.49630358571431,Female
Sat,7.01091787749918,3,Dinner,No,20.166421220866162,Male
Fri,5.726956256823064,3,Lunch,Yes,10.357915795685763,Male
Thur,5.2324505445763,2,Lunch,Yes,0.10595696685248157,Male
Sun,5.522006399326326,1,Lunch,Yes,12.667985115807845,Male
Sun,2.759219251949631,2,Lunch,No,5.359621780222037,Male
Thur,6.911860241867573,2,Dinner,No,22.318111156361397,Male
Thur,4.455054460330501,3,Lunch,No,21.422548756328876,Male
Fri,4.604106157708715,4,Lunch,No,8.836916224667005,Male
Sun,6.323197031798546,2,Dinner,No,18.666336451578065,Male
Sat,5.155382010495616,2,Dinner,Yes,33.5583701305261,Male
Sun,4.367610088124856,1,Lunch,Yes,28.839930027772283,Female
Sun,5.1003663941370405,4,Dinner,Yes,18.614049170994118,Male
Sun,5.424346581940255,4,Dinner,Yes,18.913507731790663,Male
Thur,3.2214563628987154,3,Lunch,Yes,11.390315784016144,Female
Sat,4.166263121186576,3,Dinner,No,25.06036550155353,Female
Fri,5.661716270087226,4,Lunch,No,17.614287544921154,Male
Sat,3.5603991087104583,2,Dinner,No,33.01853217400642,Male
Fri,5.554180029094102,4,Lunch,Yes,21.573023130976676,Female
Sat,6.917158603313731,1,Dinner,No,9.640888836139474,Female
Sun,4.271014279652633,6,Lunch,No,20.45213054228287,Male
Sat,5.3697396276300235,2,Lunch,Yes,16.536258923705148,Female
Sun,5.511865721005205,1,Lunch,Yes,20.404656657334222,Male
Sun,3.934082623430066,3,Dinner,Yes,13.210021734778245,Male
Fri,5.629618729334334,2,Lunch,No,22.670501146247,Male
Thur,6.566413974173983,6,Dinner,Yes,-0.3265481104998642,Female
Sat,5.638926088685957,2,Lunch,No,18.54043441954571,Female
Sat,3.995866297276958,3,Dinner,Yes,11.409128041640608,Female
Sun,6.462149045803663,5,Lunch,No,27.241397018607824,Female
Sun,4.6150845699407395,4,Lunch,Yes,14.888427867487671,Male
Sat,3.592641738115617,2,Lunch,No,32.388409474650956,Female
Fri,2.363937064278947,3,Lunch,No,9.523067157346041,Male
Sat,2.0005856557672606,2,Lunch,No,33.51800287604012,Female
Sat,5.870918650000462,3,Dinner,No,30.769198643870748,Female
Fri,6.445562940941617,2,Dinner,Yes,14.749979562581705,Female
Thur,7.0147080734169,3,Lunch,Yes,29.32036399875178,Male
Sat,5.159386577710967,3,Lunch,No,4.5962467575767825,Male
Sun,5.3753617836925045,4,Dinner,Yes,26.148141662306614,Female
Sun,4.398863983019641,3,Lunch,No,30.396209646387284,Female
Thur,4.3909501054921565,1,Dinner,No,26.243769296894314,Female
Sun,4.393547313204296,3,Dinner,No,23.19571465214065,Male
Sun,4.658336214586653,4,Dinner,No,19.04654638999062,Male
Sat,5.654916901456586,3,Lunch,No,20.81280733720599,Female
Sun,6.057645336008621,6,Dinner,No,19.62668622698074,Female
Thur,3.214768568607354,5,Dinner,Yes,25.568587254323106,Male
Sun,5.259639094941623,3,Lunch,No,11.471049924983063,Male
Fri,5.640476350577516,2,Lunch,No,39.51172036294124,Male
Thur,3.3976651042355206,1,Lunch,No,5.518961180869642,Male
Sat,5.203491030066582,2,Lunch,No,16.01291898814065,Female
Sat,3.478947403193695,2,Lunch,Yes,22.238336834293282,Male
Thur,3.460038818259337,4,Lunch,Yes,17.10476644473399,Female
Sun,4.6902621668840245,2,Lunch,No,21.04343144314064,Female
Thur,4.165219729806728,2,Lunch,No,16.962608584128276,Female
Sat,3.5333131349932416,2,Lunch,No,11.353009686373571,Male
Fri,6.536456394684856,2,Lunch,No,2.9208553339365118,Female
Thur,6.321574788073514,4,Lunch,Yes,16.86028346128226,Male
Fri,4.946900530299411,3,Lunch,No,18.156105845328774,Male
Fri,5.525170364929375,5,Dinner,Yes,24.041600818627366,Male
Fri,6.998727748614737,4,Dinner,No,0.6198717659880799,Male
Fri,5.294615029573805,2,Lunch,Yes,32.63278434721353,Female
Sun,5.967979757717849,4,Dinner,No,25.44744347739703,Male
Sun,4.020706170120265,2,Lunch,Yes,9.147778517718109,Male
Sun,5.044127972359078,4,Lunch,No,2.376724330160627,Male
Sun,7.1286969098054636,3,Lunch,No,-7.495987427944385,Male
Thur,3.7396746802639433,2,Dinner,Yes,18.132638527301832,Female
Sun,6.054688181594172,3,Dinner,No,31.48387392389933,Female
Sun,3.630015958431192,2,Lunch,No,18.17028874550263,Male
Thur,6.36945466201968,3,Dinner,Yes,27.578934797214156,Male
Fri,3.203852696521965,4,Dinner,Yes,11.804229420400812,Male
Sun,6.312693425102179,3,Dinner,Yes,25.677135961129046,Male
Sun,8.165524627980329,2,Dinner,Yes,15.662299874279725,Male
Fri,2.5668397377425296,2,Lunch,Yes,18.255181996853345,Female
Sat,5.175492796905685,3,Dinner,No,29.957859445941068,Male
Thur,3.314198967223113,6,Lunch,Yes,17.298446242394874,Male
Sat,5.5298754908313015,6,Dinner,Yes,3.532160190829895,Female
Fri,5.458387929932369,2,Dinner,No,22.48839493600055,Female
Fri,1.9115914988127636,2,Lunch,No,25.471567070079963,Male
Thur,2.9374718693992508,4,Lunch,Yes,14.210703665117087,Male
Sat,7.209638685617907,2,Dinner,No,4.4858448888501545,Female
Thur,6.258670736060378,1,Dinner,Yes,27.94251300929998,Male
Fri,6.019978436887611,4,Lunch,No,24.071769994022468,Female
Sat,5.990756909980231,3,Lunch,Yes,16.784623779569273,Female
Thur,4.708516032060995,4,Lunch,Yes,19.242330010408427,Male
Thur,4.230224046515239,3,Lunch,Yes,17.83590683842333,Female
Sat,4.998314035459741,1,Lunch,Yes,16.3923724915695,Female
